Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U1	qnpn	0.629	1.081	0.629	1.081	0.629	1.081	Top	42.0
U1_1	qnpn	0.525	0.604	0.525	0.604	0.525	0.604	Top	132.0
U1_1_1	qnpn	0.525	0.604	0.525	0.604	0.525	0.604	Top	132.0
U1_2	qnpn	1.025	0.513	1.025	0.513	1.025	0.513	Top	-138.0
U1_2_1	qnpn	1.025	0.513	1.025	0.513	1.025	0.513	Top	-138.0
U1_3	qnpn	1.168	0.975	1.168	0.975	1.168	0.975	Top	-48.0
U1_3_1	qnpn	1.168	0.975	1.168	0.975	1.168	0.975	Top	-48.0
U1_4	qnpn	0.629	1.081	0.629	1.081	0.629	1.081	Top	42.0
U2	r3	0.241	1.176	0.371	1.101	0.111	1.251	Top	150.0
U2_1	r3	0.349	1.295	0.470	1.207	0.228	1.383	Top	144.0
U2_1_1	r3	0.311	0.324	0.399	0.446	0.223	0.203	Top	-126.0
U2_1_1_1	r3	0.311	0.324	0.399	0.446	0.223	0.203	Top	-126.0
U2_1_2	r3	1.305	0.300	1.184	0.388	1.427	0.212	Top	-36.0
U2_1_2_1	r3	1.305	0.300	1.184	0.388	1.427	0.212	Top	-36.0
U2_1_3	r3	1.381	1.255	1.293	1.133	1.470	1.376	Top	54.0
U2_1_3_1	r3	1.381	1.255	1.293	1.133	1.470	1.376	Top	54.0
U2_1_4	r3	0.349	1.295	0.470	1.207	0.228	1.383	Top	144.0
U2_2	r3	0.430	0.216	0.505	0.346	0.355	0.086	Top	-120.0
U2_2_1	r3	0.430	0.216	0.505	0.346	0.355	0.086	Top	-120.0
U2_3	r3	1.413	0.419	1.284	0.494	1.543	0.344	Top	-30.0
U2_3_1	r3	1.413	0.419	1.284	0.494	1.543	0.344	Top	-30.0
U2_4	r3	1.262	1.363	1.187	1.233	1.337	1.493	Top	60.0
U2_4_1	r3	1.262	1.363	1.187	1.233	1.337	1.493	Top	60.0
U2_5	r3	0.241	1.176	0.371	1.101	0.111	1.251	Top	150.0
U3	chairy	0.486	0.852	0.626	0.798	0.346	0.906	Top	159.0
U3_1	chairy	0.754	0.462	0.808	0.602	0.701	0.321	Top	-111.0
U3_1_1	chairy	0.754	0.462	0.808	0.602	0.701	0.321	Top	-111.0
U3_2	chairy	1.168	0.743	1.028	0.797	1.308	0.689	Top	-21.0
U3_2_1	chairy	1.168	0.743	1.028	0.797	1.308	0.689	Top	-21.0
U3_3	chairy	0.938	1.117	0.884	0.977	0.992	1.257	Top	69.0
U3_3_1	chairy	0.938	1.117	0.884	0.977	0.992	1.257	Top	69.0
U3_4	chairy	0.486	0.852	0.626	0.798	0.346	0.906	Top	159.0
U4	wobelisk	0.911	1.553	1.056	1.514	1.056	1.514	Top	165.0
U4_1	wobelisk	0.911	1.553	1.056	1.514	1.056	1.514	Top	165.0
U6	do3	0.387	1.553	0.238	1.529	0.238	1.529	Top	9.0
U6_1	do3	0.387	1.553	0.238	1.529	0.238	1.529	Top	9.0
U8	cel1	1.554	0.728	1.507	0.744	1.602	0.713	Top	-18.0
U8_1	cel1	1.554	0.728	1.507	0.744	1.602	0.713	Top	-18.0
