Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U1	qnpn	0.602	0.955	0.602	0.955	0.602	0.955	Top	106.0
U1_1	qnpn	1.018	0.585	1.018	0.585	1.018	0.585	Top	166.0
U1_1_1	qnpn	1.018	0.585	1.018	0.585	1.018	0.585	Top	166.0
U1_2	qnpn	1.557	0.746	1.557	0.746	1.557	0.746	Top	-134.0
U1_2_1	qnpn	1.557	0.746	1.557	0.746	1.557	0.746	Top	-134.0
U1_3	qnpn	1.713	1.267	1.713	1.267	1.713	1.267	Top	-74.0
U1_3_1	qnpn	1.713	1.267	1.713	1.267	1.713	1.267	Top	-74.0
U1_4	qnpn	1.300	1.643	1.300	1.643	1.300	1.643	Top	-14.0
U1_4_1	qnpn	1.300	1.643	1.300	1.643	1.300	1.643	Top	-14.0
U1_5	qnpn	0.800	1.473	0.800	1.473	0.800	1.473	Top	46.0
U1_5_1	qnpn	0.800	1.473	0.800	1.473	0.800	1.473	Top	46.0
U1_6	qnpn	0.602	0.955	0.602	0.955	0.602	0.955	Top	106.0
U2	r3	0.347	0.647	0.471	0.731	0.222	0.563	Top	-146.0
U2_1	r3	0.287	0.797	0.419	0.867	0.155	0.726	Top	-152.0
U2_1_1	r3	0.997	0.233	1.002	0.383	0.992	0.083	Top	-92.0
U2_1_1_1	r3	0.997	0.233	1.002	0.383	0.992	0.083	Top	-92.0
U2_1_2	r3	1.852	0.552	1.725	0.632	1.979	0.473	Top	-32.0
U2_1_2_1	r3	1.852	0.552	1.725	0.632	1.979	0.473	Top	-32.0
U2_1_3	r3	2.027	1.426	1.895	1.355	2.160	1.496	Top	28.0
U2_1_3_1	r3	2.027	1.426	1.895	1.355	2.160	1.496	Top	28.0
U2_1_4	r3	1.321	1.995	1.316	1.845	1.326	2.145	Top	88.0
U2_1_4_1	r3	1.321	1.995	1.316	1.845	1.326	2.145	Top	88.0
U2_1_5	r3	0.511	1.708	0.629	1.616	0.393	1.801	Top	142.0
U2_1_5_1	r3	0.511	1.708	0.629	1.616	0.393	1.801	Top	142.0
U2_1_6	r3	0.287	0.797	0.419	0.867	0.155	0.726	Top	-152.0
U2_2	r3	1.156	0.210	1.146	0.360	1.167	0.061	Top	-86.0
U2_2_1	r3	1.156	0.210	1.146	0.360	1.167	0.061	Top	-86.0
U2_3	r3	1.951	0.679	1.817	0.744	2.086	0.613	Top	-26.0
U2_3_1	r3	1.951	0.679	1.817	0.744	2.086	0.613	Top	-26.0
U2_4	r3	1.968	1.575	1.843	1.491	2.092	1.659	Top	34.0
U2_4_1	r3	1.968	1.575	1.843	1.491	2.092	1.659	Top	34.0
U2_5	r3	1.162	2.018	1.172	1.868	1.151	2.168	Top	94.0
U2_5_1	r3	1.162	2.018	1.172	1.868	1.151	2.168	Top	94.0
U2_6	r3	0.439	1.583	0.561	1.497	0.316	1.669	Top	145.0
U2_6_1	r3	0.439	1.583	0.561	1.497	0.316	1.669	Top	145.0
U2_7	r3	0.347	0.647	0.471	0.731	0.222	0.563	Top	-146.0
U3	chairy	0.842	0.806	0.952	0.909	0.733	0.704	Top	-137.0
U3_1	chairy	1.266	0.719	1.233	0.865	1.300	0.573	Top	-77.0
U3_1_1	chairy	1.266	0.719	1.233	0.865	1.300	0.573	Top	-77.0
U3_2	chairy	1.566	1.028	1.422	1.072	1.709	0.984	Top	-17.0
U3_2_1	chairy	1.566	1.028	1.422	1.072	1.709	0.984	Top	-17.0
U3_3	chairy	1.472	1.416	1.362	1.314	1.582	1.518	Top	43.0
U3_3_1	chairy	1.472	1.416	1.362	1.314	1.582	1.518	Top	43.0
U3_4	chairy	1.052	1.509	1.085	1.363	1.018	1.655	Top	103.0
U3_4_1	chairy	1.052	1.509	1.085	1.363	1.018	1.655	Top	103.0
U3_5	chairy	0.792	1.190	0.935	1.146	0.649	1.234	Top	163.0
U3_5_1	chairy	0.792	1.190	0.935	1.146	0.649	1.234	Top	163.0
U3_6	chairy	0.842	0.806	0.952	0.909	0.733	0.704	Top	-137.0
U4	cel1	1.350	0.350	1.350	0.400	1.350	0.300	Top	-90.0
U4_1	cel1	1.350	0.350	1.350	0.400	1.350	0.300	Top	-90.0
U6	do3	0.145	1.018	0.148	0.868	0.148	0.868	Top	91.0
U6_1	do3	0.145	1.018	0.148	0.868	0.148	0.868	Top	91.0
U7	wobelisk	0.304	1.409	0.434	1.334	0.434	1.334	Top	150.0
U7_1	wobelisk	0.304	1.409	0.434	1.334	0.434	1.334	Top	150.0
